unix_ms,node_id,broadcast_hello_cycles,broadcast_topo_cycles,process_packet_hello_cycles,process_packet_topo_cycles,calc_state_mds_total_cycles,calc_state_kabsch_cycles,calc_state_mds_iter_cycles,calc_state_routing_update_cycles,calc_state_build_neighbors_cycles,update_screen_mds_cycles,update_screen_table_cycles,broadcast_hello_ns,broadcast_topo_ns,process_packet_hello_ns,process_packet_topo_ns,calc_state_mds_total_ns,calc_state_kabsch_ns,calc_state_mds_iter_ns,calc_state_routing_update_ns,calc_state_build_neighbors_ns,update_screen_mds_ns,update_screen_table_ns
1782670061993,3,74384,30260,122653,91161,130044,0,90270,129534,40512,19184234,0,464900.000,189125.000,766581.250,569756.250,812775.000,0.000,564187.500,809587.500,253200.000,119901462.500,0.000
1782670061994,9,71451,35068,0,88811,128666,0,88741,118296,16411,0,0,446568.750,219175.000,0.000,555068.750,804162.500,0.000,554631.250,739350.000,102568.750,0.000,0.000
1782670061997,2,38927,32853,71337,99955,130666,0,90270,277288,35240,0,0,243293.750,205331.250,445856.250,624718.750,816662.500,0.000,564187.500,1733050.000,220250.000,0.000,0.000
1782670062002,8,45000,31405,66107,98371,128666,0,88741,118093,197559,0,0,281250.000,196281.250,413168.750,614818.750,804162.500,0.000,554631.250,738081.250,1234743.750,0.000,0.000
1782670062010,3,74384,30260,122653,5507,130044,0,90270,129534,40512,19184234,0,464900.000,189125.000,766581.250,34418.750,812775.000,0.000,564187.500,809587.500,253200.000,119901462.500,0.000
1782670062015,9,71451,35068,0,88811,128666,0,88741,118296,16411,0,0,446568.750,219175.000,0.000,555068.750,804162.500,0.000,554631.250,739350.000,102568.750,0.000,0.000
1782670062016,8,45000,31405,66107,68817,128666,0,88741,118093,197559,0,0,281250.000,196281.250,413168.750,430106.250,804162.500,0.000,554631.250,738081.250,1234743.750,0.000,0.000
1782670062016,2,38927,32853,71337,99955,130666,0,90270,277288,35240,0,0,243293.750,205331.250,445856.250,624718.750,816662.500,0.000,564187.500,1733050.000,220250.000,0.000,0.000
1782670062027,3,74384,30260,122653,5507,130044,0,90270,129534,40512,19184234,0,464900.000,189125.000,766581.250,34418.750,812775.000,0.000,564187.500,809587.500,253200.000,119901462.500,0.000
1782670062032,8,63389,31405,66107,88155,128666,0,88741,118093,197559,0,0,396181.250,196281.250,413168.750,550968.750,804162.500,0.000,554631.250,738081.250,1234743.750,0.000,0.000
1782670062035,2,38927,32853,71337,99955,130666,0,90270,277288,35240,0,0,243293.750,205331.250,445856.250,624718.750,816662.500,0.000,564187.500,1733050.000,220250.000,0.000,0.000
1782670062040,9,71451,35068,0,88811,128666,0,88741,118296,16411,0,0,446568.750,219175.000,0.000,555068.750,804162.500,0.000,554631.250,739350.000,102568.750,0.000,0.000
1782670062052,3,74384,30260,122653,5507,130044,0,90270,129534,40512,19184234,0,464900.000,189125.000,766581.250,34418.750,812775.000,0.000,564187.500,809587.500,253200.000,119901462.500,0.000
1782670062056,8,63389,31405,66107,163211,128666,0,88741,118093,197559,0,0,396181.250,196281.250,413168.750,1020068.750,804162.500,0.000,554631.250,738081.250,1234743.750,0.000,0.000
1782670062060,2,38927,32853,71337,126729,130666,0,90270,277288,35240,0,0,243293.750,205331.250,445856.250,792056.250,816662.500,0.000,564187.500,1733050.000,220250.000,0.000,0.000
1782670062060,1,74392,33217,70065,100623,128182,0,90270,118844,10621,0,0,464950.000,207606.250,437906.250,628893.750,801137.500,0.000,564187.500,742775.000,66381.250,0.000,0.000
1782670062064,9,71451,35068,0,88811,128666,0,88741,118296,16411,0,0,446568.750,219175.000,0.000,555068.750,804162.500,0.000,554631.250,739350.000,102568.750,0.000,0.000
1782670062065,3,74384,30260,122653,5507,130044,0,90270,129534,40512,19184234,0,464900.000,189125.000,766581.250,34418.750,812775.000,0.000,564187.500,809587.500,253200.000,119901462.500,0.000
1782670062074,8,63389,31405,66107,85961,128666,0,88741,118093,197559,0,0,396181.250,196281.250,413168.750,537256.250,804162.500,0.000,554631.250,738081.250,1234743.750,0.000,0.000
1782670062078,2,37660,32853,71337,98817,130666,0,90270,277288,35240,0,0,235375.000,205331.250,445856.250,617606.250,816662.500,0.000,564187.500,1733050.000,220250.000,0.000,0.000
1782670062078,1,74392,33217,70065,100623,128182,0,90270,118844,10621,0,0,464950.000,207606.250,437906.250,628893.750,801137.500,0.000,564187.500,742775.000,66381.250,0.000,0.000
1782670062084,3,73110,30260,122653,5507,130044,0,90270,129534,40512,19184234,0,456937.500,189125.000,766581.250,34418.750,812775.000,0.000,564187.500,809587.500,253200.000,119901462.500,0.000
1782670062089,8,63389,31405,66107,85961,128666,0,88741,118093,197559,0,0,396181.250,196281.250,413168.750,537256.250,804162.500,0.000,554631.250,738081.250,1234743.750,0.000,0.000
1782670062094,2,37660,32853,71337,99757,130666,0,90270,277288,35240,0,0,235375.000,205331.250,445856.250,623481.250,816662.500,0.000,564187.500,1733050.000,220250.000,0.000,0.000
1782670062098,8,63389,31405,66107,85961,128666,0,88741,118093,197559,0,0,396181.250,196281.250,413168.750,537256.250,804162.500,0.000,554631.250,738081.250,1234743.750,0.000,0.000
1782670062098,1,74392,33217,70065,100623,128182,0,90270,118844,10621,0,0,464950.000,207606.250,437906.250,628893.750,801137.500,0.000,564187.500,742775.000,66381.250,0.000,0.000
1782670062107,2,37660,32853,71337,89817,130666,0,90270,277288,35240,0,0,235375.000,205331.250,445856.250,561356.250,816662.500,0.000,564187.500,1733050.000,220250.000,0.000,0.000
1782670062108,6,64998,34223,71607,101247,7566302,72207,7468638,300833,83401,0,0,406237.500,213893.750,447543.750,632793.750,47289387.500,451293.750,46678987.500,1880206.250,521256.250,0.000,0.000
1782670062114,8,63389,31405,66107,85961,128666,0,88741,118093,197559,0,0,396181.250,196281.250,413168.750,537256.250,804162.500,0.000,554631.250,738081.250,1234743.750,0.000,0.000
1782670062121,2,37660,32853,71337,89817,130666,0,90270,277288,35240,0,0,235375.000,205331.250,445856.250,561356.250,816662.500,0.000,564187.500,1733050.000,220250.000,0.000,0.000
1782670062126,8,63389,31405,66107,85961,128666,0,88741,118093,197559,0,0,396181.250,196281.250,413168.750,537256.250,804162.500,0.000,554631.250,738081.250,1234743.750,0.000,0.000
1782670062126,1,74392,33217,70065,90253,128182,0,90270,118844,10621,0,0,464950.000,207606.250,437906.250,564081.250,801137.500,0.000,564187.500,742775.000,66381.250,0.000,0.000
1782670062136,2,37660,32853,71337,89817,130666,0,90270,277288,35240,0,0,235375.000,205331.250,445856.250,561356.250,816662.500,0.000,564187.500,1733050.000,220250.000,0.000,0.000
